associate,with_bearer_or_property,count_in_target_records,bridge_flag,assessment
Henry Michael,"John de Glasgu 1447 and 1455",2,pre-1500 Glasgow continuity,"Same notary supports a stable Glasgow civic milieu only"
Andrew Brady,"John de Glasgu 1455",1,Glasgow-Brade,"Surname clue only; no relation to Esbell stated"
Alexander Brade,"John Glasgw Stirling 1475",1,Stirling-Brade,"Local Stirling Brade occurrence; not a Glasgow bridge"
Gilbert Brady,"John Glasgw Stirling 1480 boundary; Alexander Brade surname network; Easter Kennet succession",1,Stirling-Brade,"Boundary owner only in the Glasgow act; now proved grandson/heir of John Brady and spouse of Isabella"
John Brady,"Richard Brady 1471; Gilbert Brady 1477-1482",5,Brady pedigree,"Direct father of Richard and grandfather/heir-predecessor of Gilbert; intervening parent unknown"
Richard Brady,"John Brady 1471",2,Brady pedigree,"Explicit son; clerk and prospective chaplain"
Isabella,"Gilbert Brade 1478",1,Brady pedigree,"Explicit spouse; possible but unproved namesake clue for Esbell Brade"
John Brady of Easter Kennet,"Gilbert Brady property 1523-1534",4,Brady-property succession,"Strong probable son or close heir: same Berkhous Croft and territorial designation, but no kin term"
James Houston,"John parcel 1527; Rankin parcel 1535; foundation inventory 1548",3,pre/post-1530 property,"Institutional holder of annuals; strongest non-family property connector"
Malcolm/David/Henry Henryson alias Makandoy,"William boundary and Houston acquisition 1528",1,John-William property interval,"Heirship and sale define the adjoining parcel during the narrowed transmission window"
John Moresoun,"William boundary instrument 1528",1,John-William property interval,"Glasgow-diocese priest and apostolic notary; search key for omitted protocols"
George Burrell,"1528 heir/sale sasine; 1536 late-William boundary act",2,William property,"Bailie in 1528 and witness/bailie in 1536; useful register-search connector"
Andrew Craig,"1528 southern boundary; Rankin south boundary 1535 and 1553",3,property control,"Confirms identity of the Henryson/Houston and later Rankin parcel"
Thomas Adam and Jonet Nutishill,"rear boundaries of Henryson/Houston parcel 1528",1,rear-property control,"Potential keys to New Church/St Anne rear title"
John Rankin,"John parcel 1527; William boundary 1535; John name 1548; late-John boundary 1553; heir parcel 1564",5,John-William property,"Stable southern boundary proves parcel continuity"
James Young,"John parcel 1527; late William boundary 1536; widow Elizabeth Crownar 1555",3,John-William property,"Northern owner; dead by 1555; exact title to Robert missing"
Robert Young,"Besse Crownar eldest son 1555; Glasgow rear conveyance 1563; heir parcel 1564; northern tenement 1571",4,John-William property,"Exact northern-parcel successor; baker and citizen; spouse Margaret Arbuckle"
