first_name,last_name,year,place,county,transcript_url
Robert,Adam,1575,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F000536
Archibald,Anderson,1589,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F004057
James,Anderson,1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F004451
James,Anderson,1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F004452
John,Anderson,1583,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F004729
John,Arbuckill,1576,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F005935
James,Bar,1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F009098
Janet,Bell,1587,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F011412
John,Bell,1588,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F011333
Patrick,Bell,1586,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F011486
John,Biggait,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F012357
John,Biggar (Bigart),1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F012387
James,Blackburne,1596,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F013402
Thomas,Bogle,1591,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F014569
Walter,Bowie,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F015518
William,Bowie,1574,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F015526
James,Boyd,1581,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F015846
Robert,Boyd,1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F016078
James,Braidwood,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F016465
John,Brand,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F016585
George,Brounsyde,1584,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F019000
Gilbert,Buchannan (Buchquhannane),1584,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F020979
Andrew,Campbell,1549,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F023347
Colin,Campbell,1591,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F023527
John,Clark Or Clerk,—,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F028092
Katherine,Clark Or Clerk,1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F028172
William,Craig,1580,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F032732
