query,record_id,last_name,first_name,year_of_birth,year_of_death,event_year,record_set,location,transcript_url,assessment
1559±40;1519±40,SCOT/BURGESS/0025937,Glasgow,,—,—,1581,Scotland Burgess & Guild Brethren Index,"Glasgow, Lanarkshire, Scotland",https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0025937,Unnamed archbishop entry; not assignable
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00272252,Glasgow,Agnes,—,—,—,Scotland Monumental Inscriptions,"Eccles, Berwickshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00272252,Undated named hit; transcript not inspected
1559±40;1519±40,SCOT/WILLS/057425,Glasgow,Andrew,—,—,1598,Scotland Will and Testament Index 1481-1807,"Calder, Linlithgowshire (West Lothian), Scotland",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057425,Matched to Glasgow-3163
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00578830,Glasgow,Charles Douglas,—,—,—,Scotland Monumental Inscriptions,"Rothesay, Buteshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00578830,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00588917,Glasgow,Fraser,—,—,—,Scotland Monumental Inscriptions,"Girvan, Ayrshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00588917,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00359262,Glasgow,George,—,—,—,Scotland Monumental Inscriptions,"Eccles, Berwickshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00359262,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00395671,Glasgow,James,—,—,—,Scotland Monumental Inscriptions,"Crawford, Lanarkshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00395671,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00395670,Glasgow,James,—,—,—,Scotland Monumental Inscriptions,"Edinburgh, Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00395670,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00166464,Glasgow,James Lewis,—,—,—,Scotland Monumental Inscriptions,"Lanark, Lanarkshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2F00166464,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00429803,Glasgow,Janette,—,—,—,Scotland Monumental Inscriptions,"Edinburgh, Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00429803,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00447706,Glasgow,John,—,—,—,Scotland Monumental Inscriptions,"Eccles, Berwickshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00447706,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00447711,Glasgow,John,—,—,—,Scotland Monumental Inscriptions,"Crawford, Lanarkshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00447711,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00447709,Glasgow,John,—,—,—,Scotland Monumental Inscriptions,"Edinburgh, Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00447709,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00447707,Glasgow,John,—,—,—,Scotland Monumental Inscriptions,"Kirknewton, Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00447707,Undated named hit; transcript not inspected
1559±40;1519±40,SCOT/WILLS/057444,Glasgow,John,—,—,1577,Scotland Will and Testament Index 1481-1807,Scotland,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057444,Matched to Glasgow-3181
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00053522,Glasgow,John Blair,—,—,—,Scotland Monumental Inscriptions,"Glencairn, Dumfriesshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00053522,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00470672,Glasgow,Julia,—,—,—,Scotland Monumental Inscriptions,"Edinburgh, Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00470672,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00473017,Glasgow,Lilias,—,—,—,Scotland Monumental Inscriptions,"Kirknewton, Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00473017,Undated named hit; transcript not inspected
1559±40;1519±40,SCOT/WILLS/057454,Glasgow,Margaret,—,—,1580,Scotland Will and Testament Index 1481-1807,Scotland,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057454,Matched to Glasgow-3613
1559±40;1519±40,IRE/DIOC/WILL/00011445,Glasgow,Mary,—,—,—,Ireland Diocesan and Prerogative Wills & Administrations Indexes 1595-1858,Ireland,https://www.findmypast.co.uk/transcript?id=IRE%2FDIOC%2FWILL%2F00011445,Undated named hit; transcript not inspected
1559±40;1519±40,SCOT/BURGESS/0025945,Glasgow,Ninian,—,—,1596,Scotland Burgess & Guild Brethren Index,"Glasgow, Lanarkshire, Scotland",https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F0025945,Matched to Glasgow-3188
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00600123,Glasgow,Rae,—,—,—,Scotland Monumental Inscriptions,"Girvan, Ayrshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00600123,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00524891,Glasgow,Robert,—,—,—,Scotland Monumental Inscriptions,"Eccles, Berwickshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00524891,Undated named hit; transcript not inspected
1559±40;1519±40,GBPRS/NORFOLK/BUR/004320950,Glasgow,Robert,—,—,1559,Norfolk Burials,"Holkham, Norfolk, England",https://www.findmypast.co.uk/transcript?id=GBPRS%2FNORFOLK%2FBUR%2F004320950,No compatible WikiTree profile found; new-person draft
1559±40;1519±40,GBPRS/HRH/90006936/1,Glasgow,Tho De Vans,—,—,—,Royal Household Staff 1526-1924,"Great Britain",https://www.findmypast.co.uk/transcript?id=GBPRS%2FHRH%2F90006936%2F1,Undated named hit; likely field artefact; transcript not inspected
1559±40;1519±40,IRE/DIOC/WILL/00377282,Glasgow,William,—,—,—,Ireland Diocesan and Prerogative Wills & Administrations Indexes 1595-1858,Ireland,https://www.findmypast.co.uk/transcript?id=IRE%2FDIOC%2FWILL%2F00377282,Undated named hit; transcript not inspected
1559±40;1519±40,PRS/SCOTLAND/MI/ADD/5/00136387,Glasgow,William,—,—,—,Scotland Monumental Inscriptions,"Ayr, Ayrshire, Scotland",https://www.findmypast.co.uk/transcript?id=PRS%2FSCOTLAND%2FMI%2FADD%2F5%2F00136387,Undated named hit; transcript not inspected
1659±40,R_693721535,Glasgow,Issobell,1646,—,1646,Scotland Parish Births & Baptisms 1564-1929,"Lanarkshire, Scotland",https://www.findmypast.co.uk/transcript?id=R_693721535,"Matched to Glasgow-1520; father Williame Glasgow, mother Bessie Howie"
1659±40,SCOT/OPR/BAP/4587104,Glasgow,Issobell,—,—,1648,Scotland Parish Births & Baptisms 1564-1929,"Midcalder, Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F4587104,Matched to Glasgow-3654 duplicate-review case; father Wm Glasgow
1659±40,R_686312102,Glasgow,Issobell,1648,—,1648,Scotland Parish Births & Baptisms 1564-1929,"Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=R_686312102,Duplicate raw hit for the Mid Calder 1648 Issobell; do not count as separate person
1659±40,R_694109265,Glasgow,Issobell,1648,—,1648,Scotland Parish Births & Baptisms 1564-1929,"Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=R_694109265,Duplicate raw hit for the Mid Calder 1648 Issobell; do not count as separate person
1659±40,R_686178012,Glasgow,James,1626,—,—,Scotland Parish Births & Baptisms 1564-1929,"Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=R_686178012,"Matched to Glasgow-3923; father Alexander Glasgow, residence Inveresk"
1659±40,R_693575866,Glasgow,James,1626,—,—,Scotland Parish Births & Baptisms 1564-1929,"Midlothian, Scotland",https://www.findmypast.co.uk/transcript?id=R_693575866,Duplicate raw hit for James Glasgow 1626; do not count as separate person
